                                                                                                                                                  
{'loss': '43.43', 'grad_norm': '32.31', 'learning_rate': '8e-05', 'epoch': '0.09368'}
{'loss': '36.18', 'grad_norm': '20.46', 'learning_rate': '9.743e-05', 'epoch': '0.1874'}
{'loss': '30.8', 'grad_norm': '16.51', 'learning_rate': '9.421e-05', 'epoch': '0.281'}
{'loss': '28.77', 'grad_norm': '7.549', 'learning_rate': '9.1e-05', 'epoch': '0.3747'}
{'loss': '28.08', 'grad_norm': '10.25', 'learning_rate': '8.778e-05', 'epoch': '0.4684'}
{'loss': '27.66', 'grad_norm': '6.121', 'learning_rate': '8.457e-05', 'epoch': '0.5621'}
{'loss': '27.4', 'grad_norm': '8.071', 'learning_rate': '8.135e-05', 'epoch': '0.6557'}
{'loss': '27.4', 'grad_norm': '5.845', 'learning_rate': '7.814e-05', 'epoch': '0.7494'}
{'loss': '27.14', 'grad_norm': '7.2', 'learning_rate': '7.492e-05', 'epoch': '0.8431'}
{'loss': '27.35', 'grad_norm': '9.09', 'learning_rate': '7.17e-05', 'epoch': '0.9368'}
{'loss': '26.32', 'grad_norm': '8.33', 'learning_rate': '6.849e-05', 'epoch': '1.028'}
{'loss': '27.03', 'grad_norm': '8.949', 'learning_rate': '6.527e-05', 'epoch': '1.122'}
{'loss': '27.04', 'grad_norm': '6.471', 'learning_rate': '6.206e-05', 'epoch': '1.215'}
{'loss': '26.77', 'grad_norm': '7.431', 'learning_rate': '5.884e-05', 'epoch': '1.309'}
{'loss': '26.75', 'grad_norm': '9.006', 'learning_rate': '5.563e-05', 'epoch': '1.403'}
{'loss': '26.52', 'grad_norm': '7.226', 'learning_rate': '5.241e-05', 'epoch': '1.496'}
{'loss': '26.39', 'grad_norm': '6.917', 'learning_rate': '4.92e-05', 'epoch': '1.59'}
{'loss': '26.27', 'grad_norm': '7.949', 'learning_rate': '4.598e-05', 'epoch': '1.684'}
{'loss': '25.99', 'grad_norm': '9.004', 'learning_rate': '4.277e-05', 'epoch': '1.778'}
{'loss': '25.77', 'grad_norm': '7.44', 'learning_rate': '3.955e-05', 'epoch': '1.871'}
{'loss': '25.79', 'grad_norm': '7.645', 'learning_rate': '3.633e-05', 'epoch': '1.965'}
{'loss': '25.16', 'grad_norm': '8.38', 'learning_rate': '3.312e-05', 'epoch': '2.056'}
{'loss': '25.27', 'grad_norm': '7.935', 'learning_rate': '2.99e-05', 'epoch': '2.15'}
{'loss': '25.19', 'grad_norm': '7.06', 'learning_rate': '2.669e-05', 'epoch': '2.244'}
{'loss': '25.04', 'grad_norm': '8.534', 'learning_rate': '2.347e-05', 'epoch': '2.337'}
{'loss': '24.83', 'grad_norm': '7.693', 'learning_rate': '2.026e-05', 'epoch': '2.431'}
{'loss': '24.74', 'grad_norm': '8.838', 'learning_rate': '1.704e-05', 'epoch': '2.525'}
{'loss': '24.87', 'grad_norm': '10.34', 'learning_rate': '1.383e-05', 'epoch': '2.618'}
{'loss': '24.55', 'grad_norm': '7.765', 'learning_rate': '1.061e-05', 'epoch': '2.712'}
{'loss': '24.93', 'grad_norm': '10.45', 'learning_rate': '7.395e-06', 'epoch': '2.806'}
{'loss': '24.63', 'grad_norm': '8.401', 'learning_rate': '4.18e-06', 'epoch': '2.899'}
{'loss': '24.59', 'grad_norm': '7.199', 'learning_rate': '9.646e-07', 'epoch': '2.993'}
{'train_runtime': '2487', 'train_samples_per_second': '8.224', 'train_steps_per_second': '0.129', 'train_loss': '27.11', 'epoch': '3'}
   [Save] Saving adapter to C:\Users\maxid\Universität\12._Semester\BSC\Programm\results\adapters\e5_small_darkreddit
