                                                                                                                                                  
{'loss': '44.39', 'grad_norm': '37.34', 'learning_rate': '4.848e-06', 'epoch': '0.09368'}
{'loss': '43.62', 'grad_norm': '39.53', 'learning_rate': '1.091e-05', 'epoch': '0.1874'}
{'loss': '42.07', 'grad_norm': '42.83', 'learning_rate': '1.636e-05', 'epoch': '0.281'}
{'loss': '39.01', 'grad_norm': '48.1', 'learning_rate': '1.972e-05', 'epoch': '0.3747'}
{'loss': '34.9', 'grad_norm': '34.13', 'learning_rate': '1.903e-05', 'epoch': '0.4684'}
{'loss': '32.07', 'grad_norm': '23.78', 'learning_rate': '1.833e-05', 'epoch': '0.5621'}
{'loss': '30.24', 'grad_norm': '18.02', 'learning_rate': '1.764e-05', 'epoch': '0.6557'}
{'loss': '29.24', 'grad_norm': '10.97', 'learning_rate': '1.694e-05', 'epoch': '0.7494'}
{'loss': '28.44', 'grad_norm': '10.06', 'learning_rate': '1.625e-05', 'epoch': '0.8431'}
{'loss': '28.29', 'grad_norm': '9.557', 'learning_rate': '1.556e-05', 'epoch': '0.9368'}
{'loss': '27.08', 'grad_norm': '9.865', 'learning_rate': '1.486e-05', 'epoch': '1.028'}
{'loss': '27.78', 'grad_norm': '9.962', 'learning_rate': '1.417e-05', 'epoch': '1.122'}
{'loss': '27.79', 'grad_norm': '7.691', 'learning_rate': '1.347e-05', 'epoch': '1.215'}
{'loss': '27.57', 'grad_norm': '8.529', 'learning_rate': '1.278e-05', 'epoch': '1.309'}
{'loss': '27.56', 'grad_norm': '8.738', 'learning_rate': '1.208e-05', 'epoch': '1.403'}
{'loss': '27.46', 'grad_norm': '8.183', 'learning_rate': '1.139e-05', 'epoch': '1.496'}
{'loss': '27.44', 'grad_norm': '8.424', 'learning_rate': '1.069e-05', 'epoch': '1.59'}
{'loss': '27.48', 'grad_norm': '8.441', 'learning_rate': '1e-05', 'epoch': '1.684'}
{'loss': '27.38', 'grad_norm': '11.34', 'learning_rate': '9.306e-06', 'epoch': '1.778'}
{'loss': '27.29', 'grad_norm': '8.2', 'learning_rate': '8.611e-06', 'epoch': '1.871'}
{'loss': '27.44', 'grad_norm': '8.314', 'learning_rate': '7.917e-06', 'epoch': '1.965'}
{'loss': '26.87', 'grad_norm': '8.315', 'learning_rate': '7.222e-06', 'epoch': '2.056'}
{'loss': '27.21', 'grad_norm': '8.753', 'learning_rate': '6.528e-06', 'epoch': '2.15'}
{'loss': '27.26', 'grad_norm': '9.029', 'learning_rate': '5.833e-06', 'epoch': '2.244'}
{'loss': '27.23', 'grad_norm': '8.435', 'learning_rate': '5.139e-06', 'epoch': '2.337'}
{'loss': '27.07', 'grad_norm': '7.414', 'learning_rate': '4.444e-06', 'epoch': '2.431'}
{'loss': '27.11', 'grad_norm': '8.25', 'learning_rate': '3.75e-06', 'epoch': '2.525'}
{'loss': '27.21', 'grad_norm': '10.23', 'learning_rate': '3.056e-06', 'epoch': '2.618'}
{'loss': '26.94', 'grad_norm': '8.35', 'learning_rate': '2.361e-06', 'epoch': '2.712'}
{'loss': '27.35', 'grad_norm': '7.872', 'learning_rate': '1.667e-06', 'epoch': '2.806'}
{'loss': '27.15', 'grad_norm': '8.011', 'learning_rate': '9.722e-07', 'epoch': '2.899'}
{'loss': '27.07', 'grad_norm': '7.959', 'learning_rate': '2.778e-07', 'epoch': '2.993'}
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 321/321 [07:26<00:00,  1.39s/it]
{'train_runtime': '450.6', 'train_samples_per_second': '45.39', 'train_steps_per_second': '0.712', 'train_loss': '29.75', 'epoch': '3'}
   [Save] Saving adapter to C:\Users\maxid\Universität\12._Semester\BSC\Programm\results\adapters\e5_small_darkreddit
