100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 240/240 [05:37<00:00,  1.41s/it]
{'loss': '42.49', 'grad_norm': '38.32', 'learning_rate': '5e-06', 'epoch': '0.2548'}
{'loss': '41.53', 'grad_norm': '41.59', 'learning_rate': '1.333e-05', 'epoch': '0.5096'}
{'loss': '38.54', 'grad_norm': '42.03', 'learning_rate': '1.981e-05', 'epoch': '0.7643'}
{'loss': '32.09', 'grad_norm': '6.354', 'learning_rate': '1.889e-05', 'epoch': '1'}
{'loss': '32.45', 'grad_norm': '15.35', 'learning_rate': '1.796e-05', 'epoch': '1.255'}
{'loss': '31.35', 'grad_norm': '11.26', 'learning_rate': '1.704e-05', 'epoch': '1.51'}
{'loss': '30.6', 'grad_norm': '10.04', 'learning_rate': '1.611e-05', 'epoch': '1.764'}
{'loss': '27.8', 'grad_norm': '4.081', 'learning_rate': '1.519e-05', 'epoch': '2'}
{'loss': '29.75', 'grad_norm': '7.28', 'learning_rate': '1.426e-05', 'epoch': '2.255'}
{'loss': '29.38', 'grad_norm': '6.661', 'learning_rate': '1.333e-05', 'epoch': '2.51'}
{'loss': '29.27', 'grad_norm': '6.338', 'learning_rate': '1.241e-05', 'epoch': '2.764'}
{'loss': '26.9', 'grad_norm': '4.987', 'learning_rate': '1.148e-05', 'epoch': '3'}
{'loss': '28.99', 'grad_norm': '5.577', 'learning_rate': '1.056e-05', 'epoch': '3.255'}
{'loss': '28.93', 'grad_norm': '6.083', 'learning_rate': '9.63e-06', 'epoch': '3.51'}
{'loss': '28.87', 'grad_norm': '6.774', 'learning_rate': '8.704e-06', 'epoch': '3.764'}
{'loss': '26.69', 'grad_norm': '4.948', 'learning_rate': '7.778e-06', 'epoch': '4'}
{'loss': '28.85', 'grad_norm': '4.861', 'learning_rate': '6.852e-06', 'epoch': '4.255'}
{'loss': '28.71', 'grad_norm': '4.976', 'learning_rate': '5.926e-06', 'epoch': '4.51'}
{'loss': '28.71', 'grad_norm': '5.023', 'learning_rate': '5e-06', 'epoch': '4.764'}
{'loss': '26.62', 'grad_norm': '5.508', 'learning_rate': '4.074e-06', 'epoch': '5'}
{'loss': '28.65', 'grad_norm': '4.89', 'learning_rate': '3.148e-06', 'epoch': '5.255'}
{'loss': '28.71', 'grad_norm': '5.805', 'learning_rate': '2.222e-06', 'epoch': '5.51'}
{'loss': '28.77', 'grad_norm': '5.385', 'learning_rate': '1.296e-06', 'epoch': '5.764'}
{'loss': '26.5', 'grad_norm': '4.814', 'learning_rate': '3.704e-07', 'epoch': '6'}
{'train_runtime': '341.6', 'train_samples_per_second': '43.91', 'train_steps_per_second': '0.703', 'train_loss': '30.46', 'epoch': '6'}
   [Save] Saving adapter to C:\Users\maxid\Universität\12._Semester\BSC\Programm\results\adapters\e5_small_reuters
