                                                                                                                                                  
{'loss': '44.26', 'grad_norm': '34.44', 'learning_rate': '2.462e-06', 'epoch': '0.09368'}
{'loss': '44', 'grad_norm': '35.38', 'learning_rate': '5.538e-06', 'epoch': '0.1874'}
{'loss': '43.02', 'grad_norm': '36.39', 'learning_rate': '8.615e-06', 'epoch': '0.281'}
{'loss': '41.63', 'grad_norm': '39.95', 'learning_rate': '1.169e-05', 'epoch': '0.3747'}
{'loss': '39.21', 'grad_norm': '44.39', 'learning_rate': '1.446e-05', 'epoch': '0.4684'}
{'loss': '35.97', 'grad_norm': '41.76', 'learning_rate': '1.754e-05', 'epoch': '0.5621'}
{'loss': '31.94', 'grad_norm': '18.04', 'learning_rate': '1.993e-05', 'epoch': '0.6557'}
{'loss': '30.09', 'grad_norm': '12.68', 'learning_rate': '1.958e-05', 'epoch': '0.7494'}
{'loss': '29.01', 'grad_norm': '9.858', 'learning_rate': '1.924e-05', 'epoch': '0.8431'}
{'loss': '28.7', 'grad_norm': '11.48', 'learning_rate': '1.889e-05', 'epoch': '0.9368'}
{'loss': '27.31', 'grad_norm': '9.116', 'learning_rate': '1.854e-05', 'epoch': '1.028'}
{'loss': '27.95', 'grad_norm': '9.726', 'learning_rate': '1.82e-05', 'epoch': '1.122'}
{'loss': '27.95', 'grad_norm': '8.293', 'learning_rate': '1.785e-05', 'epoch': '1.215'}
{'loss': '27.67', 'grad_norm': '8.3', 'learning_rate': '1.75e-05', 'epoch': '1.309'}
{'loss': '27.64', 'grad_norm': '8.678', 'learning_rate': '1.716e-05', 'epoch': '1.403'}
{'loss': '27.48', 'grad_norm': '9.788', 'learning_rate': '1.681e-05', 'epoch': '1.496'}
{'loss': '27.48', 'grad_norm': '8.398', 'learning_rate': '1.646e-05', 'epoch': '1.59'}
{'loss': '27.49', 'grad_norm': '8.376', 'learning_rate': '1.612e-05', 'epoch': '1.684'}
{'loss': '27.38', 'grad_norm': '10.96', 'learning_rate': '1.577e-05', 'epoch': '1.778'}
{'loss': '27.3', 'grad_norm': '9.256', 'learning_rate': '1.542e-05', 'epoch': '1.871'}
{'loss': '27.44', 'grad_norm': '8.706', 'learning_rate': '1.508e-05', 'epoch': '1.965'}
{'loss': '26.85', 'grad_norm': '8.876', 'learning_rate': '1.473e-05', 'epoch': '2.056'}
{'loss': '27.15', 'grad_norm': '10.15', 'learning_rate': '1.438e-05', 'epoch': '2.15'}
{'loss': '27.15', 'grad_norm': '10.62', 'learning_rate': '1.404e-05', 'epoch': '2.244'}
{'loss': '27.13', 'grad_norm': '10.9', 'learning_rate': '1.369e-05', 'epoch': '2.337'}
{'loss': '26.93', 'grad_norm': '7.408', 'learning_rate': '1.334e-05', 'epoch': '2.431'}
{'loss': '26.95', 'grad_norm': '9.429', 'learning_rate': '1.3e-05', 'epoch': '2.525'}
{'loss': '27.03', 'grad_norm': '10.72', 'learning_rate': '1.265e-05', 'epoch': '2.618'}
{'loss': '26.73', 'grad_norm': '8.449', 'learning_rate': '1.231e-05', 'epoch': '2.712'}
{'loss': '27.11', 'grad_norm': '8.916', 'learning_rate': '1.196e-05', 'epoch': '2.806'}
{'loss': '26.86', 'grad_norm': '8.507', 'learning_rate': '1.161e-05', 'epoch': '2.899'}
{'loss': '26.77', 'grad_norm': '9.377', 'learning_rate': '1.127e-05', 'epoch': '2.993'}
{'loss': '25.89', 'grad_norm': '7.819', 'learning_rate': '1.092e-05', 'epoch': '3.084'}
{'loss': '26.63', 'grad_norm': '9.261', 'learning_rate': '1.057e-05', 'epoch': '3.178'}
{'loss': '26.6', 'grad_norm': '9.955', 'learning_rate': '1.023e-05', 'epoch': '3.272'}
{'loss': '26.61', 'grad_norm': '10.08', 'learning_rate': '9.879e-06', 'epoch': '3.365'}
{'loss': '26.51', 'grad_norm': '10.21', 'learning_rate': '9.532e-06', 'epoch': '3.459'}
{'loss': '26.46', 'grad_norm': '10.02', 'learning_rate': '9.185e-06', 'epoch': '3.553'}
{'loss': '26.68', 'grad_norm': '9.43', 'learning_rate': '8.839e-06', 'epoch': '3.646'}
{'loss': '26.43', 'grad_norm': '8.775', 'learning_rate': '8.492e-06', 'epoch': '3.74'}
{'loss': '26.49', 'grad_norm': '10.53', 'learning_rate': '8.146e-06', 'epoch': '3.834'}
{'loss': '26.56', 'grad_norm': '8.845', 'learning_rate': '7.799e-06', 'epoch': '3.927'}
{'loss': '25.48', 'grad_norm': '8.028', 'learning_rate': '7.452e-06', 'epoch': '4.019'}
{'loss': '26.31', 'grad_norm': '9.339', 'learning_rate': '7.106e-06', 'epoch': '4.112'}
{'loss': '26.1', 'grad_norm': '9.868', 'learning_rate': '6.759e-06', 'epoch': '4.206'}
{'loss': '26.27', 'grad_norm': '10.45', 'learning_rate': '6.412e-06', 'epoch': '4.3'}
{'loss': '26.16', 'grad_norm': '9.059', 'learning_rate': '6.066e-06', 'epoch': '4.393'}
{'loss': '26.19', 'grad_norm': '13.05', 'learning_rate': '5.719e-06', 'epoch': '4.487'}
{'loss': '26.33', 'grad_norm': '12.73', 'learning_rate': '5.373e-06', 'epoch': '4.581'}
{'loss': '26.25', 'grad_norm': '9.44', 'learning_rate': '5.026e-06', 'epoch': '4.674'}
{'loss': '26.03', 'grad_norm': '10.14', 'learning_rate': '4.679e-06', 'epoch': '4.768'}
{'loss': '26.24', 'grad_norm': '9.794', 'learning_rate': '4.333e-06', 'epoch': '4.862'}
